,word,meaning,example
1640,immure,imprison,
1641,immure,to build into a wall,
1642,immutable,not capable of or susceptible to change,
1643,impair,"to diminish in function, ability, or quality : to weaken or make worse",It has been known for nearly 100 years that memory is impaired by bilateral damage to either of two brain regions …
1644,impede,to interfere with or slow the progress of,
1645,imperious,marked by arrogant assurance : domineering,
1646,imperious,"befitting or characteristic of one of eminent rank or attainments : commanding, dominant",an imperious manner
1647,imperious,intensely compelling : urgent,the imperious problems of the new age
1648,impertinent,given to or characterized by insolent rudeness,an impertinent answer
1649,impertinent,not restrained within due or proper bounds especially of propriety or good taste,impertinent curiosity
1650,impertinent,not pertinent : irrelevant,
1651,imperturbable,"marked by extreme calm, impassivity, and steadiness : serene",
1652,impetuous,marked by impulsive vehemence or passion,an impetuous temperament
1653,impetuous,marked by force and violence of movement or action,an impetuous wind
1654,implacable,"not placable : not capable of being appeased, significantly changed, or mitigated",an implacable enemy
1655,implicit,capable of being understood from something else though unexpressed : implied,an implicit assumption
1656,implicit,present but not consciously held or recognized,implicit attitudes
1657,implicit,"not lessened by doubt : absolute, complete",There's an implicit trust between them.
1658,implicit,"involved in the nature or essence of something though not revealed, expressed, or developed : potential",
1659,implicit,defined by an expression in which the dependent variable and the one or more independent variables are not separated on opposite sides of an equation   compare explicit sense 4,
1660,improvise,"to compose, recite, play, or sing extemporaneously",
1661,improvise,"to make, invent, or arrange offhand",the quarterback improvised a play
1662,improvise,to make or fabricate out of what is conveniently on hand,improvise a meal
1663,improvise,to improvise something,
1664,impudent,marked by contemptuous or cocky boldness or disregard of others : insolent,
1665,impudent,lacking modesty,
1666,impugn,to assail by words or arguments : oppose or attack as false or lacking integrity,impugned the defendant's character
1667,impugn,assail,
1668,impugn,resist,
1669,inborn,present from or as if from birth,
1670,inborn,"hereditary, inherited",
1671,incendiary,igniting combustible materials spontaneously,
1672,incendiary,"of, relating to, or being a weapon (such as a bomb) designed to start fires",
1673,incendiary,tending to excite or inflame : inflammatory,incendiary speeches
1674,incendiary,"of, relating to, or involving arson : arsonous",
1675,incendiary,extremely hot,incendiary chili peppers
1676,incendiary,"a person who excites factions, quarrels, or sedition : agitator",
1677,incendiary,a substance or weapon (such as a bomb) used to start fires,
1678,incendiary,a person who commits arson : arsonist,
1679,incessant,continuing or following without interruption : unceasing,
1680,inchoate,being only partly in existence or operation : incipient,
1681,incidental,being likely to ensue as a chance or minor consequence,social obligations incidental to the job
1682,incidental,minor sense 1,
1683,incidental,occurring merely by chance or without intention or calculation,
1684,incidental,minor items (as of expense) that are not particularized,
1685,incidental,something that is incidental,
1686,inclined,"having inclination, disposition, or tendency",
1687,inclined,having a leaning or slope,
1688,inclined,making an angle with a line or plane,
1689,incongruous,lacking congruity: such as,
1690,incongruous,not harmonious : incompatible,incongruous colors
1691,incongruous,not conforming : disagreeing,conduct incongruous with principle
1692,incongruous,inconsistent within itself,an incongruous story
1693,incongruous,lacking propriety : unsuitable,incongruous manners
1694,incontrovertible,not open to question : indisputable,incontrovertible facts
1695,incredulous,unwilling to admit or accept what is offered as true : not credulous : skeptical,
1696,incredulous,expressing incredulity,an incredulous stare
1697,incredulous,incredible sense 1,
1698,indecorous,not decorous : conflicting with accepted standards of good conduct or good taste,
1699,indefatigable,incapable of being fatigued : untiring,an indefatigable worker
1700,indictment,a formal written statement framed by a prosecuting authority and found by a jury (such as a grand jury) charging a person with an offense,
1701,indictment,the action or the legal process of indicting,
1702,indictment,the state of being indicted,
1703,indictment,an expression of strong disapproval,an indictment of government policy on immigrants
1704,indignant,feeling or showing anger because of something unjust or unworthy : filled with or marked by indignation,became indignant at the accusation
1705,indiscriminate,not marked by careful distinction : deficient in discrimination and discernment,indiscriminate reading habits
1706,indiscriminate,"haphazard, random",indiscriminate application of a law
1707,indiscriminate,"promiscuous, unrestrained",indiscriminate sexual behavior
1708,indiscriminate,"heterogeneous, motley",an indiscriminate collection
1709,indispensable,absolutely necessary : essential,an indispensable member of the staff
1710,indispensable,not subject to being set aside or neglected,an indispensable obligation
1711,indolent,"averse to activity, effort, or movement : habitually lazy",
1712,indolent,showing an inclination to laziness,an indolent sigh
1713,indolent,conducive to or encouraging laziness,indolent heat
1714,indolent,causing little or no pain,
1715,indolent,slow to develop or heal,indolent tumors
1716,industrious,"constantly, regularly, or habitually active or occupied : diligent",an industrious worker
1717,industrious,"skillful, ingenious",
1718,ineluctable,"not to be avoided, changed, or resisted : inevitable",an ineluctable fate
1719,inform,to communicate knowledge to,inform a prisoner of his rights
1720,inform,to give character or essence to,the principles which inform modern teaching
1721,inform,to be the characteristic quality of : animate,the compassion that informs her work
1722,inform,to give material form to,
1723,inform,"guide, direct",
1724,inform,to make known,
1725,inform,to give information (as of another's wrongdoing) to an authority,informed on a member of his own gang
1726,inform,to impart information or knowledge,
1727,ingenuous,showing innocent or childlike simplicity and candidness,
1728,ingenuous,lacking craft or subtlety,ingenuous in their brutality
1729,ingenuous,"noble, honorable",
1730,ingenuous,ingenious,
1731,ingrained,forming a part of the essence or inmost being : deep-seated,ingrained prejudice
1732,ingrained,worked into the grain or fiber,
1733,inhibit,to prohibit from doing something,
1734,inhibit,to hold in check : restrain,
1735,inhibit,to discourage from free or spontaneous activity especially through the operation of inner psychological or external social constraints,
1736,inhibit,to cause inhibition,
1737,inimical,being adverse often by reason of hostility or malevolence,forces inimical to democracy
1738,inimical,having the disposition of an enemy : hostile,inimical factions
1739,inimical,reflecting or indicating hostility : unfriendly,his father's inimical glare
1740,innocuous,producing no injury : harmless,
1741,innocuous,"not likely to give offense or to arouse strong feelings or hostility : inoffensive, insipid",
1742,inquisitive,given to examination or investigation,
1743,inquisitive,inclined to ask questions,
1744,inscrutable,"not readily investigated, interpreted, or understood : mysterious",an inscrutable smile
1745,insipid,"lacking in qualities that interest, stimulate, or challenge : dull, flat",insipid prose
1746,insipid,lacking taste or savor : tasteless,insipid food
1747,insolent,insultingly contemptuous in speech or conduct : overbearing,
1748,insolent,exhibiting boldness or effrontery : impudent,
1749,insular,characteristic of an isolated people,
1750,insular,"of, relating to, or constituting an island",
1751,insular,dwelling or situated on an island,insular residents
1752,insular,of or relating to an island of cells or tissue,
1753,interchangeable,capable of being interchanged,
1754,intermittent,coming and going at intervals : not continuous,intermittent rain
1755,intermittent,appearing and disappearing seasonally : sometimes dry,
1756,intertwined,to unite by twining one with another,
1757,intertwined,to twine about one another,
1758,intimate,marked by a warm friendship developing through long association,intimate friends
1759,intimate,suggesting informal warmth or privacy,intimate clubs
1760,intimate,"engaged in, involving, or marked by sex or sexual relations",
1761,intimate,of a very personal or private nature,intimate secrets
1762,intimate,"marked by very close association, contact, or familiarity",intimate knowledge of the law
1763,intimate,"intrinsic, essential",
1764,intimate,belonging to or characterizing one's deepest nature,
1765,intimate,a very close friend or confidant : an intimate friend,
1766,intimate,to communicate delicately and indirectly : hint,
1767,intimate,to make known especially publicly or formally : announce,
1768,intransigent,characterized by refusal to compromise or to abandon an often extreme position or attitude : uncompromising,intransigent in their opposition
1769,intrepid,"characterized by resolute fearlessness, fortitude, and endurance",an intrepid explorer
1770,intrigue,the practice of engaging in secret schemes,
1771,intrigue,a secret scheme : machination,
1772,intrigue,a clandestine love affair,
1773,intrigue,"to arouse the interest, desire, or curiosity of",intrigued by the tale
1774,intrigue,"cheat, trick",
1775,intrigue,"to get, make, or accomplish by secret scheming",intrigued myself into the club
1776,intrigue,entangle,
1777,intrigue,to carry on an intrigue (see intrigue entry 1),
1778,intrinsic,belonging to the essential nature or constitution of a thing,the intrinsic worth of a gem
1779,intrinsic,being or relating to a semiconductor in which the concentration of charge carriers is characteristic of the material itself instead of the content of any impurities it contains,
1780,intrinsic,"originating or due to causes within a body, organ, or part",an intrinsic metabolic disease
1781,intrinsic,originating and included wholly within an organ or part,intrinsic muscles
1782,inundate,overwhelm,was inundated with phone calls
1783,inundate,to cover with a flood : overflow,
1784,invasive,tending to spread especially in a quick or aggressive manner: such as,
1785,invasive,growing and dispersing easily usually to the detriment of native species and ecosystems,
1786,invasive,tending to infiltrate surrounding healthy tissue,
1787,invasive,disseminating from a localized area throughout the body,sepsis association with invasive bacteria
1788,invasive,involving entry into the living body (as by incision or by insertion of an instrument),invasive diagnostic techniques
1789,invasive,"of, relating to, or characterized by military aggression",
1790,invasive,tending to infringe,
1791,invasive,an organism that is not native to the place where found and tends to grow and spread easily usually to the detriment of native species and ecosystems,
1792,inveigle,to win over by wiles : entice,
1793,inveigle,to acquire by ingenuity or flattery : wangle,inveigled her way into a promotion
1794,inveterate,confirmed in a habit : habitual,an inveterate liar
1795,inveterate,firmly established by long persistence,the inveterate tendency to overlook the obvious
1796,invidious,of an unpleasant or objectionable nature : obnoxious,invidious remarks
1797,invidious,of a kind to cause harm or resentment,an invidious comparison
1798,invidious,"tending to cause discontent, animosity, or envy",the invidious task of arbitration
1799,invidious,envious,
1800,invigorate,to give life and energy to : animate,
1801,inviolate,not violated or profaned,
1802,irascible,marked by hot temper and easily provoked anger,
1803,ire,intense and usually openly displayed anger,
1804,ire,Ireland,
1805,irksome,tending to irk : tedious,an irksome task
1806,ironclad,sheathed in iron armor,
1807,ironclad,so firm or secure as to be unbreakable: such as,
1808,ironclad,binding,an ironclad oath
1809,ironclad,having no obvious weakness,an ironclad case against the defendant
1810,ironclad,an armored naval vessel especially of the mid to late 19th century,
1811,irresolute,uncertain how to act or proceed : vacillating,irresolute legislators
1812,irreverent,lacking proper respect or seriousness,
1813,itinerant,traveling from place to place,
1814,jeopardize,to expose to danger or risk : imperil,a decision that could jeopardize her career
1815,jettison,to get rid of as superfluous or encumbering : omit or forgo as part of a plan or as the result of some other decision,must be prepared to jettison many romantic notions
1816,jettison,to drop (cargo) to lighten a ship's load in time of distress,
1817,jettison,to drop from an aircraft or spacecraft in flight,
1818,jettison,a voluntary sacrifice of cargo to lighten a ship's load in time of distress,
1819,jocund,marked by or suggestive of high spirits and lively mirthfulness,"a poet could not but be gay, in such a jocund company"
1820,judicious,"having, exercising, or characterized by sound judgment",judicious investments
1821,laconic,using or involving the use of a minimum of words : concise to the point of seeming rude or mysterious,
1822,lambaste,"to assault violently : beat, whip",
1823,lambaste,to attack verbally : censure,critics lambasted his performance
1824,lament,to mourn aloud : wail,nightingales lament without ceasing
1825,lament,"to express sorrow, mourning, or regret for often demonstratively : mourn","… must regret the imprudence, lament the result …"
1826,lament,to regret strongly,He lamented his decision not to go to college.
1827,lament,a crying out in grief : wailing,
1828,lament,"dirge, elegy",
1829,lament,complaint,
1830,lampoon,satire sense 1,
1831,lampoon,to make the subject of a lampoon : ridicule,
1832,languid,drooping or flagging from or as if from exhaustion : weak,arms too languid with happiness to embrace him
1833,languid,sluggish in character or disposition : listless,proceeded at a languid pace
1834,languid,lacking force or quickness of movement : slow,
1835,languish,"to be or become feeble, weak, or enervated",Plants languish in the drought.
1836,languish,to be or live in a state of depression or decreasing vitality,languished in prison for ten years
1837,languish,to become dispirited,
1838,languish,to suffer neglect,the bill languished in the Senate for eight months
1839,languish,to assume an expression of grief or emotion appealing for sympathy,languished at him through screwed-up eyes
1840,largesse,liberal giving (as of money) to or as if to an inferior,a philanthropist known for his largesse
1841,largesse,generosity,"his generosity of spirit, an absolutely natural largesse"
1842,latitude,angular distance from some specified circle or plane of reference: such as,
1843,latitude,angular distance north or south from the earth's equator measured through 90 degrees,an island located at 40 degrees north latitude
1844,latitude,a region or locality as marked by its latitude,
1845,latitude,angular distance of a celestial body from the ecliptic,
1846,latitude,freedom of action or choice,students are allowed considerable latitude in choosing courses
1847,latitude,"scope, range",
1848,latitude,the range of exposures within which a film or plate will produce a negative or positive of satisfactory quality,
1849,latitude,extent or distance from side to side : width,
1850,laudable,worthy of praise : commendable,She has shown a laudable devotion to her children.
1851,lavish,expending or bestowing profusely : prodigal,lavish donors
1852,lavish,expended or produced in abundance,the lavish attentions of his mother
1853,lavish,marked by profusion or excess,a lavish feast
1854,lavish,to expend or bestow with profusion : squander,
1855,lax,"loose, open",
1856,lax,having loose bowels,
1857,lax,deficient in firmness : not stringent,lax control
1858,lax,"not tense, firm, or rigid : slack",a lax rope
1859,lax,having an open or loose texture,a lax soil
1860,lax,having the constituents spread apart,a lax flower cluster
1861,lax,articulated with the muscles involved in a relatively relaxed state (such as the vowel \i\ in contrast with the vowel \ē\),
1862,lax,lacrosse,
1863,lethargic,"of, relating to, or characterized by laziness or lack of energy : feeling or affected by lethargy : sluggish",The patient was weak and lethargic.
1864,lethargic,"indifferent, apathetic",The legislature was lethargic in considering the bill.
1865,levity,excessive or unseemly frivolity,She would tolerate no levity in the classroom.
1866,levity,lack of steadiness : changeableness,
1867,liability,the quality or state of being liable,was cleared of liability for the accident
1868,liability,probability,
1869,liability,something for which one is liable,
1870,liability,one that acts as a disadvantage : drawback,This scandal makes the candidate a liability for the party.
1871,libertine,a freethinker especially in religious matters,
1872,libertine,a person who is unrestrained by convention or morality,
1873,limpid,marked by transparency (see transparent sense 1) : pellucid,limpid streams
1874,limpid,clear and simple in style,limpid prose
1875,limpid,absolutely serene and untroubled,
1876,lionize,to treat as an object of great interest or importance,
1877,loathe,to dislike greatly and often with disgust or intolerance : detest,
1878,loquacious,full of excessive talk : wordy,
1879,loquacious,given to fluent or excessive talk : garrulous,
1880,lucid,suffused with light : luminous,
1881,lucid,translucent,snorkeling in the lucid sea
1882,lucid,having full use of one's faculties : sane,
1883,lucid,clear to the understanding : intelligible,
1884,lucrative,producing wealth : profitable,
1885,lugubrious,mournful,
1886,lugubrious,dismal,a lugubrious landscape
1887,lull,to cause to sleep or rest : soothe,He was lulled to sleep by her soothing voice.
1888,lull,to cause to relax vigilance,were lulled into a false sense of security
1889,lull,a temporary pause or decline in activity,the early-morning lull in urban noise
1890,lull,a temporary drop in business activity,
1891,lull,a temporary calm before or during a storm,
1892,lull,something that lulls,
1893,macabre,having death as a subject : comprising or including a personalized representation of death,The macabre dance included a procession of skeletons.
1894,macabre,dwelling on the gruesome,a macabre presentation of a tragic story
1895,macabre,tending to produce horror in a beholder,this macabre procession of starving peasants
1896,magisterial,"of, relating to, or having the characteristics of a master or teacher : authoritative",
1897,magisterial,marked by an overbearingly dignified or assured manner or aspect,
1898,magisterial,"of, relating to, or required for a master's degree",
1899,magisterial,of or relating to a magistrate or a magistrate's office or duties,
1900,magnanimous,showing or suggesting a lofty and courageous spirit,the irreproachable lives and magnanimous sufferings of their followers
1901,magnanimous,showing or suggesting nobility of feeling and generosity of mind,"too sincere for dissimulation, too magnanimous for resentment"
1902,malevolent,"having, showing, or arising from intense often vicious ill will, spite, or hatred",
1903,malevolent,productive of harm or evil,
1904,malfeasance,wrongdoing or misconduct especially by a public official,The investigation has uncovered evidence of corporate malfeasance.
1905,malign,"evil in nature, influence, or effect : injurious",the malign effects of illicit drugs
1906,malign,"malignant, virulent",a malign lesion
1907,malign,having or showing intense often vicious ill will : malevolent,gave him a malign look
1908,malign,to utter injuriously misleading or false reports about : speak evil of,Her supporters say that she has been unfairly maligned in the press.
1909,malleable,capable of being extended or shaped by beating with a hammer or by the pressure of rollers,
1910,malleable,capable of being altered or controlled by outside forces or influences,
1911,malleable,having a capacity for adaptive change,
1912,manacle,a shackle for the hand or wrist : handcuff,
1913,manacle,something used as a restraint,
1914,manacle,to confine (the hands) with manacles,
1915,manacle,to make fast or secure : bind,
1916,manifest,readily perceived by the senses and especially by the sense of sight,Their sadness was manifest in their faces.
1917,manifest,easily understood or recognized by the mind : obvious,
1918,manifest,to make evident or certain by showing or displaying,
1919,manifest,"manifestation, indication",
1920,manifest,manifesto,
1921,manifest,a list of passengers or an invoice of cargo for a vehicle (such as a ship or plane),
1922,marginalize,to relegate (see relegate sense 2) to an unimportant or powerless position within a society or group,We are protesting policies that marginalize women.
1923,mawkish,lacking flavor or having an unpleasant taste,
1924,mawkish,exaggeratedly or childishly emotional,a mawkish love story
1925,mediate,occupying a middle position,
1926,mediate,acting through an intervening agency,
1927,mediate,"exhibiting indirect causation, connection, or relation",the disease spreads by mediate as well as direct contact
1928,mediate,to bring accord out of by action as an intermediary (see intermediary entry 1 sense 1a),endeavored to mediate East-West differences on several important issues
1929,mediate,to effect by action as an intermediary (see intermediary entry 1 sense 1a),mediated a settlement that was satisfactory to both sides
1930,mediate,"to act as intermediary (see intermediary entry 2 sense 2) agent in bringing, effecting, or communicating : convey",individuals … mediate the culture to the child
1931,mediate,to transmit as intermediate mechanism or agency,
1932,mediate,to interpose between parties in order to reconcile (see reconcile sense 1a) them,
1933,mediate,to reconcile (see reconcile sense 1b) differences,
1934,mendacity,the quality or state of being mendacious,
1935,mendacity,lie,mendacities of the singer's manager
1936,mercenary,one that serves merely for wages,
1937,mercenary,serving merely for pay or sordid advantage : venal,
1938,mercenary,hired for service in the army of a foreign country,
1939,mercurial,"of, relating to, or born under the planet Mercury",
1940,mercurial,"having qualities of eloquence, ingenuity, or thievishness attributed to the god Mercury or to the influence of the planet Mercury",
1941,mercurial,characterized by rapid and unpredictable changeableness of mood,a mercurial temper
1942,mercurial,"of, relating to, containing, or caused by mercury",
1943,mercurial,a pharmaceutical or chemical containing mercury,
1944,meritorious,deserving of honor or esteem,honored for her meritorious service to the company
1945,metaphorical,a figure of speech in which a word or phrase literally denoting one kind of object or idea is used in place of another to suggest a likeness or analogy between them (as in drowning in money),
1946,metaphorical,"an object, activity, or idea treated as a metaphor : symbol sense 2",
1947,meticulous,marked by extreme or excessive care in the consideration or treatment of details,a meticulous researcher
1948,mettlesome,full of mettle : spirited,
1949,mimic,mime sense 2,She's a talented mimic.
1950,mimic,one that mimics,
1951,mimic,imitative,
1952,mimic,"imitation, mock",a mimic battle
1953,mimic,of or relating to mime or mimicry,
1954,mimic,to imitate closely : ape,He mimicked her accent.
1955,mimic,to ridicule by imitation,The comic mimicked the president's mannerisms.
1956,mimic,simulate,
1957,mimic,to resemble by biological mimicry,a butterfly that mimics a leaf
1958,minute,the 60th part of an hour of time : 60 seconds,
1959,minute,the 60th part of a degree of angular measure,Its latitude is 41 degrees 55 minute north.
1960,minute,the distance one can traverse in a minute,Five minutes down the road is a gas station.
1961,minute,a short space of time : moment,Dinner will be ready in just a few minutes.
1962,minute,a brief note (as of summary or recommendation),He received a minute of instructions.
1963,minute,"memorandum, draft",sent the president a minute explaining the problem
1964,minute,the official record of the proceedings of a meeting,The secretary read the minutes of the previous meeting.
1965,minute,very small : infinitesimal,
1966,minute,of small importance : trifling,
1967,minute,marked by close attention to details,
1968,minute,to make notes or a brief summary of,
1969,misanthropic,"of, relating to, or characteristic of a misanthrope",He was shunned because of his miserable misanthropic nature.
1970,misanthropic,marked by a hatred or contempt for humankind,The moral corruption he saw around him made him misanthropic.
1971,miscreant,"unbelieving, heretical",miscreant pagans
1972,miscreant,"depraved, villainous",miscreant behavior
1973,miscreant,"infidel, heretic",
1974,miscreant,one who behaves criminally or viciously,
1975,miserly,"of, relating to, or characteristic of a miser",
1976,misnomer,the misnaming of a person in a legal instrument,
1977,misnomer,a use of a wrong or inappropriate name,Nowadays it is a misnomer to call a farmer a peasant.
1978,misnomer,a wrong name or inappropriate designation,"The name ""Greenland"" is a misnomer, since much of the island is covered by a massive ice sheet."
1979,mitigate,to cause to become less harsh or hostile : mollify,
1980,mitigate,to make less severe or painful : alleviate,mitigate a patient's suffering
1981,mitigate,extenuate,attempted to mitigate the offense
1982,modest,placing a moderate estimate on one's abilities or worth,
1983,modest,neither bold nor self-assertive : tending toward diffidence,
1984,modest,arising from or characteristic of a modest nature,
1985,modest,observing the proprieties of dress and behavior : decent,
1986,modest,"limited in size, amount, or scope",a family of modest means
1987,modest,unpretentious,a modest home
1988,modish,"fashionable, stylish",a modish hat
1989,mollify,to soothe in temper or disposition : appease,mollified the staff with a raise
1990,mollify,to reduce the rigidity of : soften,Shaving cream mollifies the beard.
1991,mollify,"to reduce in intensity : assuage, temper",Time mollified his anger.
1992,mollify,"soften, relent",
1993,momentary,continuing only a moment : fleeting,
1994,momentary,having a very brief life,
1995,momentary,operative or recurring at every moment,
1996,monotonous,uttered or sounded in one unvarying tone : marked by a sameness of pitch and intensity,
1997,monotonous,tediously uniform or unvarying,
1998,mordant,"biting and caustic in thought, manner, or style : incisive",a mordant wit
1999,mordant,acting as a mordant (as in dyeing),
2000,mordant,"burning, pungent",mordant pain
2001,mordant,a chemical that fixes a dye in or on a substance by combining with the dye to form an insoluble compound,
2002,mordant,a corroding substance used in etching,
2003,mordant,to treat with a mordant,
2004,morose,having a sullen and gloomy disposition,
2005,morose,marked by or expressive of gloom,
2006,mundane,"of, relating to, or characteristic of the world",
2007,mundane,"characterized by the practical, transitory, and ordinary : commonplace",the mundane concerns of day-to-day life
2008,munificent,very liberal in giving or bestowing (see bestow sense 4) : lavish,munificent donors
2009,munificent,characterized by great liberality or generosity,a munificent gift
2010,mutiny,forcible or passive resistance to lawful authority,
2011,mutiny,"tumult, strife",
2012,mutiny,to rise against or refuse to obey or observe authority,
2013,myopic,"affected by myopia : of, relating to, or exhibiting myopia : nearsighted",
2014,myopic,lacking in foresight or discernment : narrow in perspective and without concern for broader implications,
2015,nadir,the point of the celestial sphere that is directly opposite the zenith and vertically downward from the observer,
2016,nadir,the lowest point,
2017,naive,"marked by unaffected simplicity : artless, ingenuous",
2018,naive,deficient in worldly wisdom or informed judgment,
2019,naive,not previously subjected to experimentation or a particular experimental situation,made the test with naive rats
2020,naive,not having been exposed previously to an antigen,naive T cells
2021,naive,"self-taught, primitive",
2022,naive,produced by or as if by a self-taught artist,naive murals
2023,nascent,coming or having recently come into existence,a nascent middle class
2024,negligent,marked by or given to neglect especially habitually or culpably,"was a careless workman, negligent of details"
2025,negligent,failing to exercise the care expected of a reasonably prudent person in like circumstances,negligent about traffic regulations
2026,negligent,marked by a carelessly easy manner,
2027,neophyte,a new convert : proselyte,
2028,neophyte,novice sense 1,
2029,neophyte,"tyro, beginner",a neophyte when it comes to computers
2030,nettlesome,causing vexation : irritating,
2031,neutralize,to make chemically neutral,
2032,neutralize,to counteract the activity or effect of : make ineffective,propaganda that is difficult to neutralize
2033,neutralize,"kill, destroy",
2034,neutralize,to make electrically inert by combining equal positive and negative quantities,
2035,neutralize,"to invest (a territory, a nation, etc.) with conventional or obligatory neutrality conferring inviolability during a war",
2036,neutralize,to make neutral by blending with the complementary color,
2037,neutralize,to give (a pair of phonemes) a nondistinctive form or pronunciation,\t\ and \d\ are neutralized when pronounced as flaps
2038,neutralize,to undergo neutralization,
2039,nimble,quick and light in motion : agile,nimble fingers
2040,nimble,"marked by quick, alert, clever conception (see conception sense 3), comprehension (see comprehension sense 1a), or resourcefulness",a nimble mind
2041,nimble,"responsive, sensitive",a nimble listener
2042,noble,possessing outstanding qualities : illustrious,was a noble king
2043,noble,"famous, notable",noble deeds
2044,noble,of high birth or exalted rank : aristocratic,
2045,noble,possessing very high or excellent qualities or properties,noble wine
2046,noble,very good or excellent,
2047,noble,grand or impressive especially in appearance,noble edifice
2048,noble,"possessing, characterized by, or arising from superiority of mind or character or of ideals or morals : lofty",a noble ambition
2049,noble,chemically inert or inactive especially toward oxygen,a noble metal such as platinum
2050,noble,a person of noble rank or birth,
2051,noble,an old English gold coin equivalent to 6 shillings and 8 pence,
2052,nominal,"of, relating to, or being a noun or a word or expression taking a noun construction",
2053,nominal,"of, relating to, or constituting a name",
2054,nominal,bearing the name of a person,
2055,nominal,existing or being something in name or form only,nominal head of his party
2056,nominal,"of, being, or relating to a designated or theoretical size that may vary from the actual : approximate",the pipe's nominal size
2057,nominal,"trifling, insignificant",his involvement was nominal
2058,nominal,equal to the annual rate of simple interest that would obtain if interest were not compounded when in fact it is compounded and paid for periods of less than a year,
2059,nominal,equal to the percentage by which a repaid loan exceeds the principal borrowed with no adjustment made for inflation,
2060,nominal,being according to plan : satisfactory,everything was nominal during the launch
2061,nominal,a word or word group functioning as a noun,
2062,nonchalant,having an air of easy unconcern or indifference,
2063,nonplussed,"unsure about what to say, think, or do : perplexed",
2064,nonplussed,"not bothered, surprised, or impressed by something",
2065,noxious,physically harmful or destructive to living beings,noxious waste
2066,noxious,constituting a harmful influence on mind or behavior,
2067,noxious,"disagreeable, obnoxious",
2068,nullify,to make null (see null entry 1 sense 1),
2069,nullify,to make of no value or consequence (see consequence sense 3),a promise later nullified
2070,numinous,"supernatural, mysterious",
2071,numinous,filled with a sense of the presence of divinity : holy,
2072,numinous,appealing to the higher emotions or to the aesthetic sense : spiritual,
2073,obdurate,stubbornly persistent in wrongdoing,"an unrepentant, obdurate sinner"
2074,obdurate,hardened in feelings,The obdurate enemy was merciless.
2075,obdurate,resistant to persuasion or softening influences,obdurate in his determination
2076,obeisance,a movement of the body made in token of respect or submission : bow,After making his obeisances he approached the altar.
2077,obeisance,acknowledgment of another's superiority or importance : homage,makes obeisance to her mentors
2078,obfuscate,to throw into shadow : darken,
2079,obfuscate,to make obscure,obfuscate the issue
2080,obfuscate,confuse,obfuscate the reader
2081,obfuscate,"to be evasive, unclear, or confusing",The suspect often obfuscated during the interrogation.
2082,oblivious,"lacking remembrance, memory, or mindful attention",
2083,oblivious,lacking active conscious knowledge or awareness,
2084,obscure,"dark, dim",the obscure dusk of the shuttered room
2085,obscure,shrouded in or hidden by darkness,standing obscure in the deepest shade
2086,obscure,not clearly seen or easily distinguished : faint,obscure markings
2087,obscure,not readily understood or clearly expressed,
2088,obscure,relatively unknown: such as,
2089,obscure,"remote, secluded",an obscure village
2090,obscure,not prominent or famous,an obscure poet
2091,obscure,constituting the unstressed vowel \ə\ or having unstressed \ə\ as its value,
2092,obscure,"to make dark, dim, or indistinct",The soot on the lampshade obscured the light.
2093,obscure,to conceal or hide by or as if by covering,… snow on glaciers can obscure deep crevasses.
2094,obscure,to reduce (a vowel) to the value \ə\,
2095,obscure,obscurity,
2096,obsequious,marked by or exhibiting a fawning attentiveness,
2097,obsolete,no longer in use or no longer useful,an obsolete word
2098,obsolete,of a kind or style no longer current : old-fashioned,an obsolete technology
2099,obsolete,indistinct or imperfect as compared with a corresponding part in related organisms : vestigial,
2100,obsolete,to make (something) old-fashioned or no longer useful : make obsolete,
2101,obstinate,"stubbornly adhering to an opinion, purpose, or course in spite of reason, arguments, or persuasion",obstinate resistance to change
2102,obstinate,"not easily subdued, remedied, or removed",obstinate fever
2103,obstreperous,marked by unruly or aggressive noisiness : clamorous,obstreperous merriment
2104,obstreperous,stubbornly resistant to control : unruly,obstreperous behavior
2105,obviate,"to anticipate and prevent (something, such as a situation) or make (an action) unnecessary",The new medical treatment obviates the need for surgery.
2106,occlude,to close up or block off : obstruct,a thrombus occluding a coronary artery
2107,occlude,sorb,Palladium occludes large volumes of hydrogen.
2108,occlude,to come into contact with cusps of the opposing teeth fitting together,His teeth do not occlude properly.
2109,occlude,to become occluded,
2110,odious,arousing or deserving hatred or repugnance : hateful,an odious crime
2111,officious,volunteering one's services where they are neither asked nor needed : meddlesome,officious people who are always ready to offer unasked advice
2112,officious,"informal, unofficial",officious conversations between foreign ministers
2113,officious,"kind, obliging",
2114,officious,dutiful,
2115,ominous,being or exhibiting an omen : portentous,
2116,omnipresent,present in all places at all times,the museum's omnipresent security apparatus
2117,onerous,"involving, imposing, or constituting a burden : troublesome",an onerous task
2118,onerous,having legal obligations that outweigh the advantages,an onerous contract
2119,opaque,blocking the passage of radiant energy and especially light : exhibiting opacity (see opacity sense 1),
2120,opaque,hard to understand or explain,opaque prose
2121,opaque,"obtuse, thickheaded",
2122,opprobrium,something that brings disgrace,
2123,opprobrium,public disgrace or ill fame that follows from conduct considered grossly wrong or vicious,Collaborators with the enemy did not escape the opprobrium of the townspeople.
2124,opprobrium,"contempt, reproach",The bombing of the church was met with widespread opprobrium.
2125,ossify,to change into bone,The cartilages ossified with age.
2126,ossify,to become hardened or conventional and opposed to change,
